Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3229,0.3157,0.2775,0.4604
LLAMA3.1,0.2404,0.217,0.2198,0.3957
LLAMA3.2_1B,0.1259,0.0509,0.0484,0.0504
LLAMA3.2_3B,0.1453,0.1127,0.1218,0.1799
MISTRAL_NEMO,0.2963,0.2476,0.2054,0.3237
PHI3.5_MINI,0.3354,0.2543,0.2753,0.4101
PHI3_MEDIUM,0.0,0.0,0.0,0.0
GEMMA2-2B,0.2649,0.3014,0.2383,0.3094
GEMMA2-9B,0.3876,0.3265,0.3377,0.5108
GEMMA2-27B,0.3684,0.3094,0.3089,0.4532
QWEN2,0.3412,0.2827,0.249,0.2878
QWEN2.5_14B,0.431,0.3935,0.3965,0.5683
