Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5741,0.3331,0.3743,0.5468
LLAMA3.1,0.4201,0.2978,0.3037,0.4892
LLAMA3.2_1B,0.0806,0.1767,0.0821,0.2518
LLAMA3.2_3B,0.3788,0.2936,0.2787,0.2374
MISTRAL_NEMO,0.4425,0.2244,0.259,0.4748
PHI3.5_MINI,0.4311,0.2981,0.282,0.3669
PHI3_MEDIUM,0.2474,0.0889,0.1241,0.223
GEMMA2-2B,0.4049,0.332,0.3407,0.5036
GEMMA2-9B,0.562,0.4898,0.5079,0.6187
GEMMA2-27B,0.3283,0.2938,0.2761,0.4676
QWEN2,0.4387,0.3665,0.3635,0.5108
QWEN2.5_14B,0.5475,0.4272,0.4503,0.6475
