Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5728,0.3354,0.3742,0.554
LLAMA3.1,0.4329,0.311,0.3153,0.5108
LLAMA3.2_1B,0.0833,0.2207,0.0804,0.2014
LLAMA3.2_3B,0.448,0.3186,0.2904,0.2734
MISTRAL_NEMO,0.444,0.2215,0.2532,0.4892
PHI3.5_MINI,0.4724,0.2943,0.2815,0.3525
PHI3_MEDIUM,0.2257,0.0869,0.1161,0.2158
GEMMA2-2B,0.4223,0.3358,0.3483,0.518
GEMMA2-9B,0.5568,0.4541,0.4738,0.6043
GEMMA2-27B,0.3264,0.2938,0.2745,0.4676
QWEN2,0.4245,0.3588,0.3529,0.4964
QWEN2.5_14B,0.6176,0.4984,0.5229,0.6475
