Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4416,0.2942,0.3141,0.4532
LLAMA3.1,0.4453,0.2978,0.32,0.5036
LLAMA3.2_1B,0.0886,0.1646,0.076,0.2086
LLAMA3.2_3B,0.2483,0.2139,0.1767,0.2086
MISTRAL_NEMO,0.2022,0.1778,0.1494,0.3453
PHI3.5_MINI,0.4016,0.3212,0.2963,0.3669
PHI3_MEDIUM,0.3647,0.0912,0.1384,0.1655
GEMMA2-2B,0.4668,0.364,0.3866,0.482
GEMMA2-9B,0.54,0.4114,0.4393,0.5899
GEMMA2-27B,0.346,0.3059,0.2974,0.5108
QWEN2,0.3879,0.3015,0.3132,0.4388
QWEN2.5_14B,0.5184,0.4269,0.4446,0.6331
