Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7091,0.7384,0.7177,0.7507
GEMMA2-2B,0.7064,0.5418,0.5674,0.6781
GEMMA2-9B,0.7083,0.753,0.7045,0.7258
LLAMA3.1,0.6963,0.6785,0.6817,0.7249
LLAMA3.2_1B,0.2156,0.3904,0.2738,0.3595
LLAMA3.2_3B,0.6391,0.6272,0.6071,0.6566
LLAMA3,0.6576,0.6483,0.6484,0.6996
MISTRAL_NEMO,0.7318,0.6256,0.6555,0.7292
PHI3.5_MINI,0.6822,0.6466,0.6472,0.6953
PHI3_MEDIUM,0.6984,0.4719,0.4655,0.629
QWEN2.5_14B,0.7468,0.7836,0.752,0.7765
QWEN2,0.6711,0.722,0.6809,0.7055
