Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7087,0.7394,0.7174,0.7496
GEMMA2-2B,0.6997,0.5402,0.5649,0.6771
GEMMA2-9B,0.7098,0.7541,0.7045,0.7258
LLAMA3.1,0.6821,0.6703,0.6732,0.7134
LLAMA3.2_1B,0.3759,0.3765,0.2949,0.3834
LLAMA3.2_3B,0.6135,0.6068,0.5846,0.6323
LLAMA3,0.6527,0.6435,0.6441,0.6943
MISTRAL_NEMO,0.7193,0.6146,0.6433,0.7211
PHI3.5_MINI,0.6838,0.6491,0.6499,0.698
PHI3_MEDIUM,0.6581,0.497,0.5003,0.6692
QWEN2.5_14B,0.7453,0.7804,0.7495,0.7743
QWEN2,0.6723,0.7211,0.6821,0.7077
