Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6876,0.7459,0.6999,0.7215
GEMMA2-2B,0.5798,0.6516,0.5707,0.5809
GEMMA2-9B,0.6947,0.743,0.6879,0.7071
LLAMA3.1,0.7123,0.6154,0.6401,0.6964
LLAMA3.2_1B,0.3992,0.3292,0.1723,0.3034
LLAMA3.2_3B,0.6464,0.587,0.5586,0.6195
LLAMA3,0.6293,0.6221,0.6246,0.6513
MISTRAL_NEMO,0.6577,0.6856,0.6602,0.6883
PHI3.5_MINI,0.6542,0.6748,0.6348,0.6633
PHI3_MEDIUM,0.506,0.6141,0.5541,0.7596
QWEN2.5_14B,0.7307,0.7746,0.7423,0.7641
QWEN2,0.6557,0.7184,0.6487,0.6642
