Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6959,0.7484,0.704,0.7297
GEMMA2-2B,0.6623,0.6558,0.6544,0.6919
GEMMA2-9B,0.6882,0.7372,0.6741,0.69
LLAMA3.1,0.6885,0.6523,0.6603,0.7098
LLAMA3.2_1B,0.3878,0.3727,0.298,0.3236
LLAMA3.2_3B,0.5682,0.6371,0.5613,0.5721
LLAMA3,0.6647,0.6427,0.6385,0.6857
MISTRAL_NEMO,0.6658,0.6747,0.6584,0.6912
PHI3.5_MINI,0.6555,0.6759,0.6358,0.6623
PHI3_MEDIUM,0.6371,0.5952,0.608,0.723
QWEN2.5_14B,0.724,0.7907,0.7355,0.7544
QWEN2,0.6824,0.7036,0.688,0.7254
