Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6876,0.7415,0.6982,0.7211
GEMMA2-2B,0.582,0.6518,0.5756,0.5846
GEMMA2-9B,0.6982,0.7356,0.693,0.7152
LLAMA3.1,0.6557,0.6375,0.6453,0.6738
LLAMA3.2_1B,0.4712,0.3959,0.3831,0.5207
LLAMA3.2_3B,0.6656,0.453,0.4398,0.5892
LLAMA3,0.5993,0.6344,0.6003,0.6024
MISTRAL_NEMO,0.6562,0.674,0.6418,0.6695
PHI3.5_MINI,0.6268,0.6586,0.6161,0.6411
PHI3_MEDIUM,0.5064,0.6138,0.5543,0.7524
QWEN2.5_14B,0.7413,0.7813,0.7499,0.7732
QWEN2,0.6515,0.7122,0.6495,0.6674
