Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6447,0.5812,0.6019,0.6609
LLAMA3.1,0.4122,0.3306,0.3139,0.5733
LLAMA3.2_1B,0.2811,0.2756,0.2778,0.4379
LLAMA3.2_3B,0.4717,0.3345,0.3267,0.5954
MISTRAL_NEMO,0.6939,0.6483,0.6658,0.7174
PHI3.5_MINI,0.4855,0.4513,0.4249,0.6239
PHI3_MEDIUM,0.1862,0.0145,0.0268,0.0188
GEMMA2-2B,0.5664,0.6128,0.5744,0.5873
GEMMA2-9B,0.7067,0.744,0.7032,0.7254
GEMMA2-27B,0.6905,0.7396,0.7037,0.727
QWEN2,0.6504,0.7074,0.6496,0.6711
QWEN2.5_14B,0.7567,0.7695,0.7542,0.7797
