Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6818,0.7414,0.6944,0.7152
GEMMA2-2B,0.5723,0.6397,0.5657,0.5771
GEMMA2-9B,0.6962,0.7468,0.69,0.7088
LLAMA3.1,0.6454,0.586,0.5999,0.6588
LLAMA3.2_1B,0.3585,0.344,0.2611,0.314
LLAMA3.2_3B,0.553,0.5593,0.5192,0.5704
LLAMA3,0.6205,0.6166,0.6168,0.6362
MISTRAL_NEMO,0.579,0.6218,0.5821,0.6083
PHI3.5_MINI,0.6565,0.6724,0.6337,0.6634
PHI3_MEDIUM,0.8067,0.5981,0.5566,0.7073
QWEN2.5_14B,0.7332,0.7778,0.7455,0.7668
QWEN2,0.6498,0.7117,0.6395,0.6539
