Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6867,0.7454,0.6991,0.7206
GEMMA2-2B,0.5808,0.6534,0.572,0.5819
GEMMA2-9B,0.6945,0.7422,0.6873,0.7066
LLAMA3.1,0.7044,0.6095,0.633,0.6921
LLAMA3.2_1B,0.2319,0.3235,0.1614,0.2978
LLAMA3.2_3B,0.6566,0.5882,0.5576,0.6216
LLAMA3,0.6341,0.6264,0.6293,0.6534
MISTRAL_NEMO,0.6646,0.6919,0.668,0.6953
PHI3.5_MINI,0.6543,0.6748,0.6348,0.6634
PHI3_MEDIUM,0.5064,0.6138,0.5543,0.7524
QWEN2.5_14B,0.7305,0.7746,0.7421,0.7641
QWEN2,0.6547,0.7175,0.6483,0.6642
