Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6814,0.7286,0.6893,0.7152
GEMMA2-2B,0.6558,0.5919,0.5974,0.6565
GEMMA2-9B,0.6934,0.7228,0.68,0.7023
LLAMA3.1,0.6574,0.6498,0.6328,0.6695
LLAMA3.2_1B,0.346,0.3329,0.2786,0.4217
LLAMA3.2_3B,0.5393,0.5846,0.525,0.541
LLAMA3,0.6223,0.6589,0.6219,0.647
MISTRAL_NEMO,0.6809,0.6619,0.6614,0.7028
PHI3.5_MINI,0.6444,0.6679,0.6264,0.6502
PHI3_MEDIUM,0.6249,0.6008,0.6096,0.7418
QWEN2.5_14B,0.7253,0.7852,0.7373,0.7577
QWEN2,0.6759,0.6759,0.6726,0.7206
