Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.622,0.5714,0.5891,0.6416
LLAMA3.1,0.5405,0.4514,0.4326,0.576
LLAMA3.2_1B,0.2679,0.2654,0.2663,0.4164
LLAMA3.2_3B,0.4589,0.3474,0.3426,0.5959
MISTRAL_NEMO,0.6804,0.6481,0.6614,0.7066
PHI3.5_MINI,0.4851,0.4536,0.4265,0.6244
PHI3_MEDIUM,0.1745,0.0153,0.0281,0.0199
GEMMA2-2B,0.5658,0.6101,0.5742,0.5879
GEMMA2-9B,0.7083,0.7431,0.7033,0.7265
GEMMA2-27B,0.6967,0.7467,0.7108,0.7329
QWEN2,0.6531,0.7116,0.6547,0.676
QWEN2.5_14B,0.7571,0.7716,0.7561,0.7813
