Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6964,0.7485,0.7045,0.7297
GEMMA2-2B,0.6669,0.6548,0.6542,0.693
GEMMA2-9B,0.6858,0.7339,0.6715,0.6873
LLAMA3.1,0.7012,0.6537,0.6644,0.7179
LLAMA3.2_1B,0.4272,0.3739,0.2486,0.2946
LLAMA3.2_3B,0.5856,0.6562,0.5752,0.5857
LLAMA3,0.6686,0.6414,0.6386,0.6873
MISTRAL_NEMO,0.6784,0.6772,0.6649,0.6982
PHI3.5_MINI,0.6541,0.6733,0.6335,0.6622
PHI3_MEDIUM,0.6515,0.6144,0.6266,0.781
QWEN2.5_14B,0.7237,0.7901,0.7348,0.7539
QWEN2,0.6833,0.7039,0.6883,0.7254
