Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7178,0.7492,0.7273,0.7582
GEMMA2-2B,0.6955,0.537,0.5621,0.6706
GEMMA2-9B,0.711,0.7548,0.7068,0.7285
LLAMA3.1,0.6313,0.6285,0.6291,0.683
LLAMA3.2_1B,0.3366,0.3571,0.3066,0.3715
LLAMA3.2_3B,0.5826,0.5813,0.5558,0.6018
LLAMA3,0.6415,0.637,0.6354,0.6862
MISTRAL_NEMO,0.6972,0.593,0.6203,0.7007
PHI3.5_MINI,0.6851,0.6491,0.6504,0.698
PHI3_MEDIUM,0.654,0.5068,0.5173,0.6689
QWEN2.5_14B,0.7487,0.7819,0.7522,0.777
QWEN2,0.6724,0.7216,0.6816,0.707
