Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6959,0.7492,0.7037,0.7286
GEMMA2-2B,0.6451,0.6481,0.6427,0.6764
GEMMA2-9B,0.6896,0.7355,0.6736,0.6894
LLAMA3.1,0.6476,0.6218,0.6275,0.6792
LLAMA3.2_1B,0.3536,0.3545,0.2996,0.3108
LLAMA3.2_3B,0.5365,0.6011,0.5179,0.5273
LLAMA3,0.6571,0.6431,0.6372,0.6814
MISTRAL_NEMO,0.6481,0.6596,0.6425,0.6763
PHI3.5_MINI,0.6553,0.6796,0.636,0.6629
PHI3_MEDIUM,0.5434,0.5168,0.5252,0.6316
QWEN2.5_14B,0.7219,0.7884,0.7329,0.7517
QWEN2,0.6799,0.6988,0.6848,0.7233
