Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7088,0.7379,0.7172,0.7501
GEMMA2-2B,0.6968,0.536,0.5601,0.6738
GEMMA2-9B,0.7075,0.7517,0.7029,0.7242
LLAMA3.1,0.698,0.6808,0.6837,0.7254
LLAMA3.2_1B,0.2156,0.3689,0.2682,0.367
LLAMA3.2_3B,0.6367,0.6263,0.6045,0.6534
LLAMA3,0.6565,0.6502,0.6493,0.6985
MISTRAL_NEMO,0.7297,0.6264,0.6556,0.7303
PHI3.5_MINI,0.6825,0.6474,0.6478,0.6959
PHI3_MEDIUM,0.7316,0.4659,0.4649,0.6379
QWEN2.5_14B,0.7476,0.7839,0.7526,0.777
QWEN2,0.6713,0.7216,0.6811,0.7061
