Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6847,0.7331,0.6924,0.7179
GEMMA2-2B,0.6424,0.5788,0.5842,0.6448
GEMMA2-9B,0.6925,0.7189,0.6766,0.6996
LLAMA3.1,0.6323,0.641,0.6238,0.6582
LLAMA3.2_1B,0.3274,0.3487,0.3038,0.413
LLAMA3.2_3B,0.5231,0.5742,0.5182,0.5329
LLAMA3,0.6209,0.6571,0.6236,0.648
MISTRAL_NEMO,0.6907,0.6795,0.6761,0.7134
PHI3.5_MINI,0.6412,0.6656,0.6235,0.6475
PHI3_MEDIUM,0.539,0.5121,0.52,0.6232
QWEN2.5_14B,0.7278,0.7875,0.7403,0.7609
QWEN2,0.6818,0.6828,0.679,0.7243
