Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6139,0.5657,0.5821,0.6319
LLAMA3.1,0.3737,0.33,0.3155,0.5497
LLAMA3.2_1B,0.2575,0.2517,0.2504,0.3778
LLAMA3.2_3B,0.406,0.3407,0.3298,0.5578
MISTRAL_NEMO,0.491,0.4751,0.4821,0.6776
PHI3.5_MINI,0.6438,0.6021,0.5649,0.6206
PHI3_MEDIUM,0.1793,0.0136,0.0253,0.0177
GEMMA2-2B,0.5599,0.6065,0.5675,0.5819
GEMMA2-9B,0.7027,0.7414,0.7001,0.7222
GEMMA2-27B,0.6903,0.7375,0.7041,0.727
QWEN2,0.4835,0.528,0.4832,0.6631
QWEN2.5_14B,0.7509,0.7663,0.7498,0.7738
