Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6859,0.7407,0.6969,0.719
GEMMA2-2B,0.5703,0.6359,0.5599,0.569
GEMMA2-9B,0.6944,0.732,0.689,0.7109
LLAMA3.1,0.6354,0.6235,0.6284,0.6593
LLAMA3.2_1B,0.3834,0.3632,0.3631,0.4663
LLAMA3.2_3B,0.5965,0.4601,0.4452,0.578
LLAMA3,0.5986,0.6359,0.6006,0.6013
MISTRAL_NEMO,0.6372,0.6662,0.6268,0.6513
PHI3.5_MINI,0.6298,0.6622,0.618,0.6421
PHI3_MEDIUM,0.4967,0.6341,0.5568,0.7387
QWEN2.5_14B,0.7408,0.7812,0.7494,0.7722
QWEN2,0.6531,0.7151,0.6509,0.6679
