Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6826,0.7289,0.6906,0.7174
GEMMA2-2B,0.6572,0.5937,0.5979,0.6543
GEMMA2-9B,0.7001,0.7288,0.6852,0.7077
LLAMA3.1,0.6575,0.6432,0.6285,0.6685
LLAMA3.2_1B,0.5528,0.3252,0.2624,0.4566
LLAMA3.2_3B,0.5613,0.6104,0.5497,0.5635
LLAMA3,0.6412,0.672,0.6343,0.6588
MISTRAL_NEMO,0.7,0.6734,0.677,0.719
PHI3.5_MINI,0.6464,0.6717,0.6301,0.6534
PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008
QWEN2.5_14B,0.7244,0.7842,0.7366,0.7571
QWEN2,0.6838,0.6834,0.6801,0.7265
