Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6835,0.7358,0.694,0.7168
GEMMA2-2B,0.5603,0.6214,0.554,0.5658
GEMMA2-9B,0.6934,0.733,0.6893,0.7104
LLAMA3.1,0.5918,0.601,0.5957,0.6287
LLAMA3.2_1B,0.3839,0.3865,0.3851,0.4413
LLAMA3.2_3B,0.5311,0.4436,0.4332,0.5584
LLAMA3,0.5732,0.6158,0.5793,0.5803
MISTRAL_NEMO,0.5927,0.6292,0.5877,0.6126
PHI3.5_MINI,0.618,0.6486,0.6051,0.6303
PHI3_MEDIUM,0.4706,0.65,0.5451,0.7083
QWEN2.5_14B,0.7381,0.7787,0.7475,0.7706
QWEN2,0.6465,0.7046,0.6409,0.6582
