Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6968,0.7486,0.705,0.7303
GEMMA2-2B,0.6666,0.6575,0.6562,0.6946
GEMMA2-9B,0.6878,0.7359,0.6736,0.6894
LLAMA3.1,0.7021,0.6593,0.6683,0.719
LLAMA3.2_1B,0.4815,0.3503,0.2178,0.2585
LLAMA3.2_3B,0.5914,0.6658,0.5832,0.5927
LLAMA3,0.672,0.6442,0.6414,0.6894
MISTRAL_NEMO,0.6761,0.6755,0.663,0.6962
PHI3.5_MINI,0.6546,0.6748,0.6338,0.6614
PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008
QWEN2.5_14B,0.7232,0.7898,0.7343,0.7534
QWEN2,0.6876,0.7103,0.6938,0.7297
