Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6824,0.7286,0.6903,0.7168
GEMMA2-2B,0.6544,0.5884,0.5939,0.6527
GEMMA2-9B,0.7,0.7295,0.6858,0.7082
LLAMA3.1,0.6572,0.6481,0.6322,0.6706
LLAMA3.2_1B,0.391,0.3318,0.2695,0.4457
LLAMA3.2_3B,0.56,0.61,0.5492,0.5624
LLAMA3,0.6344,0.6684,0.6306,0.6545
MISTRAL_NEMO,0.6958,0.6735,0.6753,0.7157
PHI3.5_MINI,0.6473,0.6717,0.6307,0.6545
PHI3_MEDIUM,0.6143,0.5927,0.5995,0.7963
QWEN2.5_14B,0.7244,0.7842,0.7366,0.7571
QWEN2,0.6836,0.6846,0.6805,0.7265
