Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6477,0.5837,0.6048,0.6631
LLAMA3.1,0.413,0.3302,0.3141,0.575
LLAMA3.2_1B,0.2853,0.277,0.2796,0.4449
LLAMA3.2_3B,0.4859,0.3396,0.3339,0.6013
MISTRAL_NEMO,0.7073,0.6627,0.6799,0.7308
PHI3.5_MINI,0.4833,0.4502,0.4232,0.6217
PHI3_MEDIUM,0.1915,0.0149,0.0276,0.0193
GEMMA2-2B,0.5692,0.6163,0.5775,0.59
GEMMA2-9B,0.7082,0.7473,0.705,0.7265
GEMMA2-27B,0.6935,0.7432,0.7067,0.7303
QWEN2,0.6507,0.7091,0.6508,0.6717
QWEN2.5_14B,0.7591,0.773,0.7574,0.7824
