Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6881,0.7428,0.6991,0.7217
GEMMA2-2B,0.5821,0.6537,0.5765,0.5852
GEMMA2-9B,0.699,0.7359,0.6936,0.7157
LLAMA3.1,0.6498,0.6303,0.6388,0.6695
LLAMA3.2_1B,0.4522,0.3963,0.3892,0.5102
LLAMA3.2_3B,0.6679,0.4528,0.4411,0.5906
LLAMA3,0.6017,0.6385,0.6038,0.6051
MISTRAL_NEMO,0.651,0.6687,0.6365,0.6647
PHI3.5_MINI,0.6301,0.6606,0.6188,0.6443
PHI3_MEDIUM,0.8245,0.6235,0.5759,0.7396
QWEN2.5_14B,0.7396,0.7813,0.749,0.7722
QWEN2,0.6522,0.7123,0.65,0.6679
