Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6854,0.7332,0.6808,0.7023
GEMMA2-2B,0.6245,0.6859,0.6203,0.6351
GEMMA2-9B,0.7118,0.7561,0.6976,0.7152
LLAMA3.1,0.6505,0.7006,0.6642,0.6934
LLAMA3.2_1B,0.3739,0.3521,0.221,0.2927
LLAMA3.2_3B,0.5881,0.6358,0.5934,0.625
LLAMA3,0.5982,0.6682,0.5091,0.5185
MISTRAL_NEMO,0.7266,0.7785,0.7441,0.7645
PHI3.5_MINI,0.6172,0.6048,0.5939,0.645
PHI3_MEDIUM,0.6482,0.6135,0.6239,0.7256
QWEN2.5_14B,0.7456,0.8065,0.7625,0.7818
QWEN2,0.6777,0.7311,0.6689,0.6846
