Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7266,0.7791,0.7426,0.7684
GEMMA2-2B,0.6508,0.6751,0.6526,0.6772
GEMMA2-9B,0.7227,0.7588,0.7143,0.7378
LLAMA3.1,0.6744,0.6325,0.6422,0.7278
LLAMA3.2_1B,0.4656,0.466,0.3765,0.4087
LLAMA3.2_3B,0.6757,0.6401,0.6522,0.708
LLAMA3,0.6366,0.7187,0.6084,0.6158
MISTRAL_NEMO,0.7452,0.7625,0.7523,0.7695
PHI3.5_MINI,0.6663,0.6088,0.6278,0.7066
PHI3_MEDIUM,0.6984,0.4719,0.4655,0.629
QWEN2.5_14B,0.7541,0.8091,0.7706,0.7904
QWEN2,0.6866,0.7434,0.6758,0.6926
