Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6663,0.7183,0.6704,0.6964
GEMMA2-2B,0.6269,0.6884,0.6299,0.6473
GEMMA2-9B,0.7094,0.7552,0.6995,0.7187
LLAMA3.1,0.6235,0.6622,0.6348,0.6733
LLAMA3.2_1B,0.3647,0.3425,0.235,0.2935
LLAMA3.2_3B,0.5693,0.636,0.5313,0.5436
LLAMA3,0.6304,0.6954,0.5759,0.5766
MISTRAL_NEMO,0.7103,0.7788,0.7258,0.7446
PHI3.5_MINI,0.6136,0.5821,0.5841,0.6477
PHI3_MEDIUM,0.5676,0.5398,0.5469,0.6492
QWEN2.5_14B,0.7507,0.8088,0.7685,0.7883
QWEN2,0.6793,0.7271,0.6611,0.6749
