Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5466,0.0977,0.1616,0.1155
LLAMA3.1,0.5732,0.4455,0.4731,0.7088
LLAMA3.2_1B,0.3856,0.3446,0.3271,0.5443
LLAMA3.2_3B,0.5413,0.4215,0.4469,0.6652
MISTRAL_NEMO,0.7753,0.7417,0.7416,0.7657
PHI3.5_MINI,0.4504,0.47,0.4541,0.6163
PHI3_MEDIUM,0.4472,0.4489,0.4459,0.6679
GEMMA2-2B,0.6237,0.6945,0.6389,0.6486
GEMMA2-9B,0.7974,0.7037,0.7146,0.7474
GEMMA2-27B,0.7697,0.8004,0.7771,0.7963
QWEN2,0.7305,0.7404,0.7267,0.7566
QWEN2.5_14B,0.7234,0.7742,0.7405,0.756
