Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.659,0.7139,0.6455,0.6566
GEMMA2-2B,0.5458,0.6205,0.4475,0.461
GEMMA2-9B,0.6575,0.7044,0.6501,0.6651
LLAMA3.1,0.5657,0.5998,0.577,0.6058
LLAMA3.2_1B,0.357,0.3869,0.3011,0.3003
LLAMA3.2_3B,0.5747,0.6305,0.5794,0.5965
LLAMA3,0.584,0.663,0.5759,0.5798
MISTRAL_NEMO,0.6481,0.6709,0.658,0.6727
PHI3.5_MINI,0.6302,0.62,0.6202,0.6712
PHI3_MEDIUM,0.4665,0.6074,0.5257,0.697
QWEN2.5_14B,0.699,0.7825,0.7044,0.7168
QWEN2,0.6715,0.7128,0.6702,0.6953
