Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6645,0.7166,0.6675,0.693
GEMMA2-2B,0.6259,0.6876,0.6291,0.6462
GEMMA2-9B,0.7083,0.7566,0.6994,0.718
LLAMA3.1,0.6546,0.6909,0.6662,0.7013
LLAMA3.2_1B,0.2367,0.3249,0.184,0.3043
LLAMA3.2_3B,0.566,0.6332,0.5245,0.5376
LLAMA3,0.637,0.6992,0.5823,0.5842
MISTRAL_NEMO,0.7131,0.779,0.7294,0.7491
PHI3.5_MINI,0.6202,0.593,0.5932,0.6561
PHI3_MEDIUM,0.6591,0.6184,0.6305,0.7873
QWEN2.5_14B,0.7513,0.8091,0.7692,0.7888
QWEN2,0.6796,0.7313,0.6627,0.676
