Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7039,0.7182,0.7044,0.7452
GEMMA2-2B,0.6391,0.6759,0.6412,0.6663
GEMMA2-9B,0.7287,0.7716,0.7319,0.7555
LLAMA3.1,0.6811,0.7224,0.6783,0.6996
LLAMA3.2_1B,0.3903,0.4604,0.3181,0.3407
LLAMA3.2_3B,0.6109,0.6521,0.594,0.604
LLAMA3,0.6905,0.7401,0.7004,0.7161
MISTRAL_NEMO,0.7249,0.753,0.7358,0.763
PHI3.5_MINI,0.6327,0.6378,0.6233,0.665
PHI3_MEDIUM,0.6613,0.6999,0.599,0.5966
QWEN2.5_14B,0.7715,0.7905,0.7772,0.8023
QWEN2,0.6844,0.7247,0.6807,0.7034
