Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7084,0.701,0.7017,0.7548
GEMMA2-2B,0.6563,0.6853,0.6412,0.6604
GEMMA2-9B,0.7398,0.7747,0.7408,0.7663
LLAMA3.1,0.7013,0.7354,0.6883,0.7098
LLAMA3.2_1B,0.4799,0.5669,0.3477,0.3962
LLAMA3.2_3B,0.631,0.6552,0.592,0.5975
LLAMA3,0.7186,0.7733,0.7343,0.7533
MISTRAL_NEMO,0.7248,0.772,0.7409,0.7641
PHI3.5_MINI,0.6433,0.6568,0.6338,0.669
PHI3_MEDIUM,0.6757,0.7212,0.612,0.6101
QWEN2.5_14B,0.7636,0.7733,0.7652,0.7937
QWEN2,0.7023,0.7454,0.6975,0.7195
