Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6558,0.7137,0.6484,0.6615
GEMMA2-2B,0.5122,0.6011,0.4382,0.4634
GEMMA2-9B,0.6716,0.7112,0.6699,0.6883
LLAMA3.1,0.508,0.5373,0.5168,0.5452
LLAMA3.2_1B,0.3544,0.3727,0.354,0.381
LLAMA3.2_3B,0.5635,0.6049,0.5642,0.5868
LLAMA3,0.5684,0.6397,0.5438,0.5427
MISTRAL_NEMO,0.7014,0.6814,0.6905,0.7203
PHI3.5_MINI,0.6158,0.6202,0.6141,0.6591
PHI3_MEDIUM,0.4806,0.6026,0.5321,0.7087
QWEN2.5_14B,0.695,0.7748,0.6964,0.7098
QWEN2,0.6851,0.7079,0.6783,0.7109
