Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7123,0.7077,0.7066,0.7585
GEMMA2-2B,0.6349,0.6618,0.6196,0.6394
GEMMA2-9B,0.739,0.7725,0.7398,0.7653
LLAMA3.1,0.6779,0.7029,0.66,0.6812
LLAMA3.2_1B,0.4111,0.4888,0.3064,0.3459
LLAMA3.2_3B,0.6123,0.6246,0.57,0.5766
LLAMA3,0.711,0.7698,0.7262,0.7444
MISTRAL_NEMO,0.6907,0.7474,0.7039,0.7227
PHI3.5_MINI,0.6442,0.6648,0.636,0.672
PHI3_MEDIUM,0.6583,0.6932,0.5936,0.5919
QWEN2.5_14B,0.763,0.7768,0.7664,0.7937
QWEN2,0.6771,0.7188,0.6704,0.6916
