Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6033,0.6819,0.6108,0.6067
LLAMA3.1,0.4173,0.4334,0.417,0.5524
LLAMA3.2_1B,0.2691,0.2205,0.221,0.2864
LLAMA3.2_3B,0.6033,0.6529,0.6099,0.6325
MISTRAL_NEMO,0.698,0.7288,0.7081,0.727
PHI3.5_MINI,0.4868,0.5523,0.4479,0.4406
PHI3_MEDIUM,0.1955,0.0178,0.0326,0.0231
GEMMA2-2B,0.5155,0.6089,0.4777,0.4852
GEMMA2-9B,0.6935,0.7361,0.6855,0.705
GEMMA2-27B,0.6732,0.7476,0.6719,0.683
QWEN2,0.6698,0.7093,0.6486,0.6728
QWEN2.5_14B,0.7226,0.7967,0.7361,0.7517
