Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6615,0.7168,0.6469,0.6572
GEMMA2-2B,0.5542,0.6301,0.4429,0.461
GEMMA2-9B,0.6626,0.704,0.6549,0.672
LLAMA3.1,0.6726,0.6907,0.6807,0.707
LLAMA3.2_1B,0.4012,0.3915,0.2622,0.2543
LLAMA3.2_3B,0.5932,0.6589,0.5989,0.612
LLAMA3,0.6069,0.6868,0.5932,0.5943
MISTRAL_NEMO,0.7442,0.7513,0.7472,0.7593
PHI3.5_MINI,0.6613,0.6331,0.6408,0.6932
PHI3_MEDIUM,0.5064,0.6138,0.5543,0.7524
QWEN2.5_14B,0.6974,0.7805,0.7024,0.7152
QWEN2,0.6974,0.7381,0.696,0.7217
