Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5901,0.6716,0.5985,0.5927
LLAMA3.1,0.3981,0.4145,0.3981,0.5298
LLAMA3.2_1B,0.2577,0.1989,0.2109,0.2687
LLAMA3.2_3B,0.5895,0.6351,0.5929,0.6174
MISTRAL_NEMO,0.4804,0.5027,0.4873,0.6733
PHI3.5_MINI,0.3664,0.4164,0.3369,0.4412
PHI3_MEDIUM,0.1863,0.0157,0.029,0.0204
GEMMA2-2B,0.3861,0.453,0.363,0.4901
GEMMA2-9B,0.5206,0.5569,0.5157,0.7061
GEMMA2-27B,0.6606,0.736,0.6592,0.6695
QWEN2,0.6623,0.7047,0.6432,0.6679
QWEN2.5_14B,0.7198,0.7938,0.7311,0.7469
