Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7211,0.7446,0.7263,0.7534
GEMMA2-2B,0.5812,0.634,0.5046,0.5218
GEMMA2-9B,0.7869,0.6145,0.6521,0.7088
LLAMA3.1,0.7301,0.6619,0.6863,0.734
LLAMA3.2_1B,0.4806,0.3499,0.2811,0.533
LLAMA3.2_3B,0.5845,0.5817,0.578,0.6352
LLAMA3,0.6666,0.7046,0.6753,0.6778
MISTRAL_NEMO,0.7589,0.7323,0.7356,0.7625
PHI3.5_MINI,0.6146,0.6359,0.6206,0.6528
PHI3_MEDIUM,0.6687,0.6296,0.6441,0.7054
QWEN2.5_14B,0.7023,0.7698,0.7202,0.7356
QWEN2,0.6966,0.744,0.7115,0.7335
