Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7179,0.7403,0.7218,0.7496
GEMMA2-2B,0.58,0.6432,0.5198,0.5347
GEMMA2-9B,0.7859,0.6506,0.6843,0.7274
LLAMA3.1,0.7488,0.6691,0.6971,0.7399
LLAMA3.2_1B,0.5274,0.4327,0.4304,0.576
LLAMA3.2_3B,0.6147,0.5625,0.5673,0.6386
LLAMA3,0.6861,0.7329,0.6995,0.7163
MISTRAL_NEMO,0.7386,0.7419,0.7321,0.756
PHI3.5_MINI,0.6257,0.6421,0.6298,0.6627
PHI3_MEDIUM,0.6626,0.6232,0.6374,0.7011
QWEN2.5_14B,0.712,0.7779,0.7314,0.7437
QWEN2,0.6845,0.7322,0.6975,0.7206
