Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7201,0.7437,0.7252,0.7523
GEMMA2-2B,0.5806,0.6349,0.5052,0.5228
GEMMA2-9B,0.7906,0.6188,0.6566,0.712
LLAMA3.1,0.7327,0.6603,0.6855,0.7356
LLAMA3.2_1B,0.4986,0.3542,0.283,0.5379
LLAMA3.2_3B,0.5919,0.5865,0.5845,0.6407
LLAMA3,0.6705,0.7065,0.6784,0.6812
MISTRAL_NEMO,0.7637,0.7353,0.7389,0.7646
PHI3.5_MINI,0.6151,0.6355,0.6209,0.6537
PHI3_MEDIUM,0.6849,0.6391,0.6557,0.7179
QWEN2.5_14B,0.7006,0.7684,0.7186,0.7335
QWEN2,0.6913,0.7386,0.7061,0.7281
