Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6664,0.7155,0.6687,0.6956
GEMMA2-2B,0.6178,0.6774,0.6219,0.6415
GEMMA2-9B,0.7111,0.7586,0.7027,0.7223
LLAMA3.1,0.5842,0.6285,0.5938,0.6362
LLAMA3.2_1B,0.3327,0.3251,0.251,0.2717
LLAMA3.2_3B,0.5513,0.6058,0.5103,0.5244
LLAMA3,0.6241,0.6937,0.5746,0.578
MISTRAL_NEMO,0.6688,0.7355,0.681,0.7007
PHI3.5_MINI,0.6182,0.5889,0.5915,0.654
PHI3_MEDIUM,0.5556,0.5157,0.5262,0.6337
QWEN2.5_14B,0.7486,0.8069,0.7667,0.7861
QWEN2,0.6732,0.723,0.6548,0.6668
