Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6864,0.735,0.6819,0.7034
GEMMA2-2B,0.6251,0.6885,0.6218,0.6357
GEMMA2-9B,0.7116,0.7557,0.6975,0.7152
LLAMA3.1,0.673,0.7256,0.6881,0.7141
LLAMA3.2_1B,0.2114,0.3284,0.1607,0.288
LLAMA3.2_3B,0.5894,0.6389,0.5945,0.6238
LLAMA3,0.6068,0.6737,0.5209,0.5282
MISTRAL_NEMO,0.7452,0.7928,0.7621,0.784
PHI3.5_MINI,0.6219,0.6103,0.5996,0.6492
PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008
QWEN2.5_14B,0.7462,0.8071,0.7635,0.7824
QWEN2,0.6819,0.7353,0.6743,0.6905
