Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6812,0.7287,0.6749,0.6953
GEMMA2-2B,0.6071,0.6656,0.5989,0.6127
GEMMA2-9B,0.7032,0.7484,0.6919,0.7104
LLAMA3.1,0.5902,0.634,0.6001,0.6315
LLAMA3.2_1B,0.3427,0.335,0.2419,0.2654
LLAMA3.2_3B,0.5558,0.5966,0.5592,0.5898
LLAMA3,0.5875,0.6608,0.5114,0.5202
MISTRAL_NEMO,0.6894,0.7466,0.7061,0.7276
PHI3.5_MINI,0.6167,0.601,0.593,0.645
PHI3_MEDIUM,0.5654,0.5415,0.5438,0.6304
QWEN2.5_14B,0.7474,0.8071,0.7647,0.784
QWEN2,0.6767,0.7306,0.6651,0.6797
