Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7019,0.7129,0.7013,0.7442
GEMMA2-2B,0.6457,0.679,0.6491,0.6771
GEMMA2-9B,0.7401,0.7815,0.7431,0.7668
LLAMA3.1,0.7004,0.7432,0.6969,0.7174
LLAMA3.2_1B,0.4819,0.5574,0.358,0.3973
LLAMA3.2_3B,0.624,0.6579,0.6028,0.6131
LLAMA3,0.7101,0.7626,0.7242,0.7397
MISTRAL_NEMO,0.7457,0.7671,0.7547,0.784
PHI3.5_MINI,0.6381,0.644,0.6295,0.671
PHI3_MEDIUM,0.6753,0.7257,0.6139,0.6122
QWEN2.5_14B,0.7714,0.7897,0.7763,0.8012
QWEN2,0.7116,0.7479,0.7066,0.7308
