Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.612,0.6887,0.6167,0.6104
LLAMA3.1,0.4265,0.4433,0.4264,0.5669
LLAMA3.2_1B,0.2805,0.2288,0.2221,0.2998
LLAMA3.2_3B,0.611,0.6617,0.6197,0.6411
MISTRAL_NEMO,0.7591,0.7752,0.7595,0.7743
PHI3.5_MINI,0.3653,0.4136,0.3347,0.4385
PHI3_MEDIUM,0.1915,0.0149,0.0276,0.0193
GEMMA2-2B,0.5139,0.605,0.4723,0.4815
GEMMA2-9B,0.6977,0.7423,0.6908,0.7104
GEMMA2-27B,0.6699,0.7423,0.6672,0.6787
QWEN2,0.6699,0.7112,0.6495,0.6738
QWEN2.5_14B,0.7232,0.7961,0.7362,0.7523
