Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7225,0.7479,0.7287,0.7566
GEMMA2-2B,0.5639,0.6218,0.5012,0.5188
GEMMA2-9B,0.7494,0.6,0.633,0.6973
LLAMA3.1,0.6914,0.6364,0.6565,0.7007
LLAMA3.2_1B,0.4135,0.3713,0.3513,0.5135
LLAMA3.2_3B,0.5569,0.5675,0.5575,0.6007
LLAMA3,0.6343,0.6765,0.6412,0.6464
MISTRAL_NEMO,0.6959,0.7021,0.6916,0.7227
PHI3.5_MINI,0.6065,0.6271,0.612,0.6446
PHI3_MEDIUM,0.5431,0.5536,0.5466,0.595
QWEN2.5_14B,0.7012,0.7709,0.719,0.7335
QWEN2,0.6673,0.7163,0.6812,0.7045
