Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7226,0.7482,0.7284,0.7544
GEMMA2-2B,0.566,0.6224,0.4953,0.5137
GEMMA2-9B,0.7713,0.615,0.6505,0.7071
LLAMA3.1,0.7018,0.6416,0.6634,0.712
LLAMA3.2_1B,0.4702,0.368,0.3239,0.5336
LLAMA3.2_3B,0.5694,0.5657,0.5622,0.6201
LLAMA3,0.6593,0.6913,0.6655,0.6665
MISTRAL_NEMO,0.742,0.7233,0.7247,0.7544
PHI3.5_MINI,0.6074,0.6316,0.6139,0.6452
PHI3_MEDIUM,0.6225,0.6046,0.6119,0.6767
QWEN2.5_14B,0.7074,0.7792,0.7254,0.7394
QWEN2,0.6918,0.7412,0.7068,0.7286
