Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7382,0.789,0.7481,0.7735
GEMMA2-2B,0.6844,0.6964,0.6879,0.7217
GEMMA2-9B,0.7375,0.7682,0.7326,0.7566
LLAMA3.1,0.7498,0.6968,0.7059,0.7474
LLAMA3.2_1B,0.4772,0.5467,0.3642,0.3955
LLAMA3.2_3B,0.6763,0.7187,0.6771,0.7002
LLAMA3,0.7208,0.7574,0.7295,0.7465
MISTRAL_NEMO,0.7254,0.7221,0.7224,0.7523
PHI3.5_MINI,0.6696,0.692,0.6789,0.7159
PHI3_MEDIUM,0.7333,0.7917,0.7445,0.7592
QWEN2.5_14B,0.7793,0.7929,0.7813,0.8066
QWEN2,0.7061,0.7297,0.6913,0.72
