Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6605,0.7134,0.6443,0.6545
GEMMA2-2B,0.5455,0.6248,0.4398,0.4572
GEMMA2-9B,0.6606,0.7038,0.6535,0.6704
LLAMA3.1,0.6509,0.6708,0.6596,0.6869
LLAMA3.2_1B,0.4037,0.3926,0.2725,0.2634
LLAMA3.2_3B,0.593,0.6584,0.5988,0.612
LLAMA3,0.6072,0.685,0.5909,0.5943
MISTRAL_NEMO,0.7382,0.7462,0.7417,0.7534
PHI3.5_MINI,0.6553,0.632,0.638,0.6882
PHI3_MEDIUM,0.474,0.5919,0.5252,0.7048
QWEN2.5_14B,0.6952,0.777,0.7004,0.7136
QWEN2,0.6942,0.7331,0.6922,0.719
