Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7021,0.7149,0.7023,0.7448
GEMMA2-2B,0.6466,0.6781,0.6496,0.6787
GEMMA2-9B,0.7381,0.7798,0.7412,0.7646
LLAMA3.1,0.7039,0.7461,0.6999,0.7206
LLAMA3.2_1B,0.4901,0.5766,0.3666,0.4081
LLAMA3.2_3B,0.6264,0.6608,0.6056,0.6163
LLAMA3,0.7078,0.7595,0.7221,0.7376
MISTRAL_NEMO,0.7451,0.7682,0.7551,0.7856
PHI3.5_MINI,0.6395,0.6452,0.6308,0.6719
PHI3_MEDIUM,0.6744,0.724,0.6122,0.6104
QWEN2.5_14B,0.7714,0.788,0.7755,0.8006
QWEN2,0.703,0.7364,0.6969,0.7217
