Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.721,0.772,0.7368,0.763
GEMMA2-2B,0.6447,0.669,0.6472,0.6739
GEMMA2-9B,0.7181,0.7547,0.7112,0.7351
LLAMA3.1,0.669,0.6378,0.6467,0.7228
LLAMA3.2_1B,0.363,0.3786,0.3195,0.332
LLAMA3.2_3B,0.6652,0.6318,0.6433,0.7005
LLAMA3,0.6365,0.7192,0.6119,0.619
MISTRAL_NEMO,0.7094,0.7267,0.7165,0.74
PHI3.5_MINI,0.6628,0.6073,0.6259,0.7036
PHI3_MEDIUM,0.6778,0.5098,0.5248,0.6651
QWEN2.5_14B,0.7556,0.8103,0.7721,0.792
QWEN2,0.6848,0.74,0.6737,0.691
