Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6021,0.6766,0.6051,0.5981
LLAMA3.1,0.4234,0.4391,0.4229,0.5605
LLAMA3.2_1B,0.2875,0.2324,0.2295,0.3047
LLAMA3.2_3B,0.6088,0.6584,0.617,0.6384
MISTRAL_NEMO,0.7557,0.7757,0.7583,0.7738
PHI3.5_MINI,0.4883,0.5537,0.4475,0.4395
PHI3_MEDIUM,0.1864,0.0169,0.0311,0.022
GEMMA2-2B,0.5057,0.6012,0.467,0.4756
GEMMA2-9B,0.6975,0.742,0.6897,0.7093
GEMMA2-27B,0.6684,0.7426,0.6667,0.6776
QWEN2,0.6683,0.7095,0.6483,0.6733
QWEN2.5_14B,0.7224,0.7954,0.735,0.7512
