Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7085,0.7008,0.702,0.7562
GEMMA2-2B,0.6522,0.6813,0.6394,0.6599
GEMMA2-9B,0.7416,0.7773,0.743,0.7679
LLAMA3.1,0.6923,0.7261,0.6802,0.7007
LLAMA3.2_1B,0.4709,0.545,0.3368,0.3842
LLAMA3.2_3B,0.6291,0.6548,0.5919,0.5981
LLAMA3,0.7162,0.7706,0.7322,0.7515
MISTRAL_NEMO,0.7105,0.7568,0.7255,0.748
PHI3.5_MINI,0.6401,0.6526,0.6298,0.6654
PHI3_MEDIUM,0.6678,0.7112,0.6048,0.6023
QWEN2.5_14B,0.7589,0.7681,0.7606,0.7904
QWEN2,0.6973,0.7373,0.692,0.7147
