Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6573,0.7138,0.6495,0.6631
GEMMA2-2B,0.5274,0.6116,0.4301,0.4613
GEMMA2-9B,0.6806,0.7145,0.678,0.6985
LLAMA3.1,0.6164,0.6369,0.6249,0.6534
LLAMA3.2_1B,0.3649,0.3998,0.3691,0.3931
LLAMA3.2_3B,0.5858,0.6323,0.5914,0.6131
LLAMA3,0.5896,0.6543,0.5575,0.5551
MISTRAL_NEMO,0.7927,0.7295,0.7534,0.7759
PHI3.5_MINI,0.6333,0.6366,0.632,0.6741
PHI3_MEDIUM,0.5064,0.6138,0.5543,0.7524
QWEN2.5_14B,0.6971,0.7775,0.6994,0.7131
QWEN2,0.6941,0.7201,0.6883,0.719
