Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7,0.713,0.7,0.7426
GEMMA2-2B,0.6403,0.6717,0.6432,0.6722
GEMMA2-9B,0.7371,0.779,0.7406,0.7646
LLAMA3.1,0.698,0.7422,0.6949,0.7157
LLAMA3.2_1B,0.4448,0.5336,0.3465,0.3835
LLAMA3.2_3B,0.6209,0.6551,0.5996,0.6099
LLAMA3,0.7044,0.758,0.7182,0.7303
MISTRAL_NEMO,0.7319,0.7606,0.7437,0.7722
PHI3.5_MINI,0.6351,0.6409,0.6261,0.6688
PHI3_MEDIUM,0.6652,0.7098,0.6017,0.6001
QWEN2.5_14B,0.7704,0.7884,0.7752,0.8006
QWEN2,0.6934,0.7243,0.685,0.7098
