Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7334,0.7844,0.7431,0.7688
GEMMA2-2B,0.6828,0.6942,0.6861,0.7195
GEMMA2-9B,0.7411,0.7701,0.7347,0.7593
LLAMA3.1,0.7509,0.7005,0.708,0.7496
LLAMA3.2_1B,0.5023,0.5748,0.3714,0.4068
LLAMA3.2_3B,0.6758,0.7146,0.6772,0.7023
LLAMA3,0.7196,0.7505,0.7287,0.7452
MISTRAL_NEMO,0.7377,0.7361,0.7365,0.7679
PHI3.5_MINI,0.6689,0.6921,0.6784,0.7162
PHI3_MEDIUM,0.7331,0.8063,0.7437,0.7581
QWEN2.5_14B,0.78,0.794,0.7823,0.8076
QWEN2,0.71,0.7347,0.6952,0.7233
