Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.687,0.7356,0.6825,0.7039
GEMMA2-2B,0.6226,0.6857,0.619,0.633
GEMMA2-9B,0.7089,0.753,0.6948,0.7125
LLAMA3.1,0.6685,0.7221,0.6836,0.7074
LLAMA3.2_1B,0.2216,0.336,0.1767,0.2746
LLAMA3.2_3B,0.5825,0.631,0.5879,0.6178
LLAMA3,0.6028,0.6664,0.5137,0.5212
MISTRAL_NEMO,0.7466,0.7965,0.7641,0.7851
PHI3.5_MINI,0.6209,0.6093,0.5981,0.6494
PHI3_MEDIUM,0.6159,0.5865,0.5935,0.7902
QWEN2.5_14B,0.7473,0.8089,0.765,0.7834
QWEN2,0.6792,0.7317,0.6716,0.6883
