Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6691,0.7215,0.6723,0.698
GEMMA2-2B,0.6278,0.6903,0.6312,0.6478
GEMMA2-9B,0.712,0.76,0.7025,0.7212
LLAMA3.1,0.6582,0.7006,0.6711,0.7046
LLAMA3.2_1B,0.2975,0.3285,0.17,0.3156
LLAMA3.2_3B,0.5717,0.638,0.53,0.5435
LLAMA3,0.6375,0.6998,0.5828,0.5846
MISTRAL_NEMO,0.7218,0.7869,0.7389,0.7582
PHI3.5_MINI,0.6212,0.5957,0.5957,0.6569
PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008
QWEN2.5_14B,0.7521,0.809,0.77,0.7898
QWEN2,0.6801,0.7317,0.6632,0.6765
