Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7185,0.7394,0.722,0.7507
GEMMA2-2B,0.5663,0.6387,0.5201,0.5321
GEMMA2-9B,0.7466,0.6306,0.6585,0.706
LLAMA3.1,0.7093,0.6511,0.6731,0.7117
LLAMA3.2_1B,0.4365,0.4146,0.4161,0.5246
LLAMA3.2_3B,0.5733,0.5413,0.5463,0.6089
LLAMA3,0.6557,0.704,0.6695,0.6862
MISTRAL_NEMO,0.6571,0.6799,0.6612,0.6855
PHI3.5_MINI,0.6178,0.6347,0.6221,0.6566
PHI3_MEDIUM,0.5368,0.5368,0.5362,0.5989
QWEN2.5_14B,0.71,0.7766,0.729,0.7421
QWEN2,0.6692,0.7117,0.6801,0.7071
