Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7095,0.7031,0.7034,0.756
GEMMA2-2B,0.6551,0.6833,0.6405,0.6604
GEMMA2-9B,0.7407,0.7767,0.7421,0.7673
LLAMA3.1,0.7029,0.7362,0.6904,0.7125
LLAMA3.2_1B,0.4852,0.5764,0.3537,0.4027
LLAMA3.2_3B,0.6303,0.6497,0.5891,0.5948
LLAMA3,0.7276,0.7799,0.7439,0.7625
MISTRAL_NEMO,0.7243,0.7703,0.7404,0.7625
PHI3.5_MINI,0.6407,0.6541,0.6311,0.6677
PHI3_MEDIUM,0.6744,0.724,0.6122,0.6104
QWEN2.5_14B,0.7599,0.7692,0.7614,0.7904
QWEN2,0.7035,0.7462,0.6979,0.7195
