Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7182,0.7421,0.7221,0.7491
GEMMA2-2B,0.5826,0.6494,0.5282,0.5414
GEMMA2-9B,0.7697,0.6408,0.6727,0.7204
LLAMA3.1,0.7303,0.6554,0.6818,0.726
LLAMA3.2_1B,0.4733,0.4215,0.421,0.5588
LLAMA3.2_3B,0.6071,0.5563,0.5606,0.6309
LLAMA3,0.6771,0.7266,0.6901,0.7062
MISTRAL_NEMO,0.7177,0.7289,0.717,0.7399
PHI3.5_MINI,0.6257,0.6406,0.629,0.6632
PHI3_MEDIUM,0.6325,0.611,0.6194,0.6814
QWEN2.5_14B,0.7124,0.7768,0.7316,0.7442
QWEN2,0.6791,0.727,0.6918,0.7147
